CAMMENU_0EV,0EV
COU_NOT_SELECTED_IMAGES,Ingen bild vald
COU_NOT_SELECTED_IMAGES_2,
COU_NOT_SELECTED_SHARE,Inga Delade valda
COU_NOT_SELECTED_SHARE_2,
COU_PAPERERROR,Pappersfel
COU_PAPERERROR_2,
COU_PASSLOCK_CODE_MISS,Fel nollställningskod
COU_PASSLOCK_CODE_MISS_2,
COU_PASSLOCK_PASS_MISS,Fel lösenord
COU_PASSLOCK_PASS_MISS_2,
COU_POWEROFFON,Stäng av och slå på kameran
COU_POWEROFFON_2,
COU_PRINTERBUSY,Skrivaren upptagen
COU_PRINTERBUSY_2,
COU_PRINTERERROR,Skrivarfel
COU_PRINTERERROR_2,
COU_READONLYMEMORY,Minne endast för läsning
COU_READONLYMEMORY_2,
COU_READONLY_FOLDER,Mapp endast för läsning
COU_READONLY_FOLDER_2,
COU_REDEYE_DETECTED,Inga röda ögon avkända
COU_REDEYE_DETECTED_2,
COU_SCRNTOUCH_INVALID,Pekskärmen går ej att använda
COU_SCRNTOUCH_INVALID_2,
COU_SELFTIMER_INVALID,Självutlösaren går ej att använda
COU_SELFTIMER_INVALID_2,
COU_SMILESHUTTER_AUTOONLY,Leendeavkänning fungerar bara när
COU_SMILESHUTTER_AUTOONLY_2,inspeln. sättet är inställt på "Auto"
COU_SYSTEMERROR,Systemfel
COU_SYSTEMERROR_2,
COU_TARGET_DETECTED,Kan ej upptäcka ansikte
COU_TARGET_DETECTED_2,att retuschera
COU_TARGET_NOIMAGE,Inga stillbilder
COU_TARGET_NOIMAGE_2,
COU_ZOOM_INVALID,Zoomen avstängd
COU_ZOOM_INVALID_2,
DUMMY,
GUIDE_BUTTON,Peka på den knapp du vill använda
GUIDE_CENTER,Peka på önskad mittpunkt
GUIDE_CHANGEFOCUS,Flytta skärpan genom att peka
GUIDE_CHOOSEFOCUS,Peka för att ställa in skärpan
GUIDE_DEMO_BACKLIGHT,Motljus upptäckt
GUIDE_DEMO_BACKLIGHTPORTRAIT,Människor i motljus upptäckta
GUIDE_DEMO_LANDSCAPE,Landskap upptäckt
GUIDE_DEMO_MACRO,Närbeläget motiv upptäckt
GUIDE_DEMO_PORTRAIT,Människor upptäckta
GUIDE_DEMO_TRIPOD,Stativ och skymningsljus upptäckta
GUIDE_DEMO_TWILIGHT,Skymningsljus upptäckt
GUIDE_DEMO_TWILIGHTPORTRAIT,Människor i skymn. ljus upptäckta
GUIDE_EFFECTLEVEL,Ställ in effektnivån
GUIDE_EXIT_TOUCH,Peka på skärmen för att avsluta
GUIDE_LIGHTBEAM_LEVEL,Ställ in ljusstrålens styrka
GUIDE_RANGE,Ställ in effektområdet
GUIDE_RESIZE,Storleksändringen klar
GUIDE_RETOUCH_COMPLETE,Retuscheringen klar
GUIDE_RETRO_LIGHT,Ställ in ljusstyrkeområdet
GUIDE_ROTATEIMG,Peka på bilden som ska vridas
