CAMMENU_0EV,0EV
CAMMODE_TWILIGHT,Tusmørke
CAMMODE_TWILIGHTPORTRAIT,Tusmørke portræt
CAMMODE_TWILIGHTPORTRAIT_GUIDE,Optag svagt portræt
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,motiv med blitz
CAMMODE_TWILIGHTTRIPOD_GUIDE,Optag scene med svag
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,belysning med et stativ
CAMMODE_WATER,Under vandet
CAMMODE_WATER_GUIDE,Optag under vand i naturlige
CAMMODE_WATER_GUIDE_2,farver med undervandshus
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
CLOCKMENU_DEC,DEC
CLOCKMENU_DMY,D-M-Å
CLOCKMENU_FEB,FEB
CLOCKMENU_JAN,JAN
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
CLOCKMENU_MAR,MAR
CLOCKMENU_MAY,MAJ
CLOCKMENU_MDY,M-D-Å
CLOCKMENU_NOV,NOV
CLOCKMENU_OCT,OKT
CLOCKMENU_SEP,SEP
CLOCKMENU_UNKNOWN,---
CLOCKMENU_YMD,Å-M-D
COM_AUTO,Auto
COM_BACK,Tilbage
COM_CANCEL,Fortryd
COM_CLEAR,Fjern
COM_CLEARALL,Ryd alle
COM_CONTINUE,Fortsæt
COM_CREATED,Oprettet
COM_ENTRY,Tilføj
COM_EXIT,Afslut
COM_FAST,Hurtig
COM_HIGH,Høj
COM_INTERNALMEMORY,Intern hukommelse
COM_LOW,Lav
COM_MED,Mellem
COM_MIN,min
COM_MOVIEREC,OPT
COM_MOVIESTBY,Standby
COM_MS,Memory Stick
COM_MS_AND_INTERNALMEMORY,Memory Stick ＋ Intern hukommelse
COM_NOOFFILES,Ant. Filer
COM_NORMAL,Normal
COM_OFF,Fra
COM_OK,OK
COM_ON,Til
COM_PREVIEW,Visning
COM_REMAIN,Rester. billeder
COM_SAVE,Gem
COM_SLOW,Langsom
COM_STANDARD,Standard
COM_STANDARD2,Standard
COM_START,Start
COM_USBMODE,USB-funkt.
COM_VOLUME,VOL.
COU_640FINE,640(Fin) er ikke tilgængelig
COU_640FINE_2,
COU_AUDIOPLUGIN,For lydudgang, tilslut et lydstik
COU_AUDIOPLUGIN_2,
COU_BATTERY_HEATED,Kameraet er overophedet
COU_BATTERY_HEATED_2,Giv det tid til at køle af
COU_BATTERY_INFOLITHIUM,Kun til "InfoLITHIUM"-batteri
COU_BATTERY_INFOLITHIUM_2,
COU_BATTERY_INVALID,Kan kun anvendes med
COU_BATTERY_INVALID_2,kompatibelt batteri
COU_BGM_ERROR,Fejl i musik
COU_BGM_ERROR_2,
COU_BGM_FORMATERROR,Formateringsfejl for
COU_BGM_FORMATERROR_2,hukommelse til musik
COU_BURST_INVALID,Serieoptagelse er ugyldig
COU_BURST_INVALID_2,
COU_CANNOTACCESS_MS,Ikke adgang til Memory Stick
COU_CANNOTACCESS_MS_2,Adgang nægtet
COU_CANNOTCREATE_FOLDERS,Kan ikke oprette flere mapper
COU_CANNOTCREATE_FOLDERS_2,
COU_DATA_ERROR,Fejl i billedhåndteringsfil
COU_DATA_ERROR_2,
COU_ERROR10,Fejl10
COU_ERROR20,Fejl20
COU_ERROR30,Fejl30
COU_ERROR40,Fejl40
COU_ERROR50,Fejl50
COU_EXCEEDED_LIMIT,Maksimalt antal billeder markeret
COU_EXCEEDED_LIMIT_2,
COU_FILEERROR,Filfejl
COU_FILEERROR_2,
COU_FILEPROTECT,Filbeskyttelse
COU_FILEPROTECT_2,
COU_FLASHSETTING_INVALID,Indstillingerne for blitz kan
COU_FLASHSETTING_INVALID_2,ikke ændres
COU_FOLDER_ERROR,Mappefejl
COU_FOLDER_ERROR_2,
COU_FORMATERROR_INTERNALMEMORY,Formateringsfejl for intern
COU_FORMATERROR_INTERNALMEMORY_2,hukommelse
COU_FORMATERROR_MS,Formateringsfejl for Memory Stick
COU_FORMATERROR_MS_2,
COU_IMAGESIZEOVER,Til stor billedstørrelse
COU_IMAGESIZEOVER_2,
COU_INKERROR,Trykfarvefejl
COU_INKERROR_2,
COU_INVALID_FILE,Ugyldig fil
COU_INVALID_FILE_2,
COU_INVALID_FOLDER,Funktionen er ikke til rådighed
COU_INVALID_FOLDER_2,sammen med mappevisning
COU_INVALID_MS,Kan ikke gemme billedhåndter. fil
COU_INVALID_MS_2,på denne Memory Stick
COU_INVALID_OPERATION,Ugyldig handling
COU_INVALID_OPERATION_HDOUT,Handlingen kan ikke udføres
COU_INVALID_OPERATION_HDOUT_2,under HD(1080i)-output
COU_INVALID_OPERATION_MOVIEFILE,Handlingen kan ikke udføres
COU_INVALID_OPERATION_MOVIEFILE_2,for filmfiler
COU_INVALID_OPERATION_NGFILE,Handlingen kan ikke udføres
COU_INVALID_OPERATION_NGFILE_2,for ikke-understøttede filer
COU_INVALID_OPERATION_PICTBRIDGE,Handlingen kan ikke udføres
COU_INVALID_OPERATION_PICTBRIDGE_2,ved brug af PictBridge-forbindelse
COU_INVALID_OPERATION_REMOTE,Handlingen kan ikke udføres
COU_INVALID_OPERATION_REMOTE_2,ved fjernbetjening
COU_INVALID_OPERATION_TVOUT,Handlingen kan ikke udføres
COU_INVALID_OPERATION_TVOUT_2,under tv-output
COU_LENSCAPOFF,Fjern objektivdæksel,
COU_LENSCAPOFF_2,og slå strømmen fra og til igen
COU_LENSCOVER_OPEN,Åbn objektivdækslet så kameraet
COU_LENSCOVER_OPEN_2,kan optage
COU_LOWINK,Lavt blækniveau
COU_LOWINK_2,
COU_MACRO_INVALID,Makro er ugyldig
COU_MACRO_INVALID_2,
COU_MEDIAERROR_INTERNALMEMORY,Intern hukomm. fejl
COU_MEDIAERROR_INTERNALMEMORY_2,
COU_METERING_INVALID,Brug af målemetode
COU_METERING_INVALID_2,er ikke tilgængelig
COU_MSR_NOTUSEFUNCTION,Funktionen understøttes ikke
COU_MSR_NOTUSEFUNCTION_2,med denne Memory Stick
COU_MS_ERROR,Indsæt Memory Stick'en igen
COU_MS_ERROR_2,
COU_MS_LOCKED,Memory Stick låst
COU_MS_LOCKED_2,
COU_MS_TYPEERROR,Forkert Memory Stick-type
COU_MS_TYPEERROR_2,
COU_NOBATTERY,Ikke nok batteri
COU_NOIMAGE,Ingen billeder
COU_NOIMAGE_2,
COU_NOIMAGE_PLAY,Nogle billeder blev ikke overført
COU_NOIMAGE_PLAY_2,Ukendt format.
COU_NOINK,Ingen blæk
COU_NOINK_2,
COU_NOMS,Ingen Memory Stick
COU_NOMS_2,
COU_NOPAPER,Intet papir
COU_NOPAPER_2,
COU_NOSOFTWAREFILE,Ingen softwarefil
COU_NOSOFTWAREFILE_2,
COU_NOSPACE_INTERNALMEMORY,Ingen ledig plads i intern
COU_NOSPACE_INTERNALMEMORY_2,hukommelse
COU_NOSPACE_MS,Ingen ledig plads på Memory Stick
COU_NOSPACE_MS_2,
COU_NOT_SELECTED_FAV,Ingen Favoritter valgt
COU_NOT_SELECTED_FAV_2,
COU_NOT_SELECTED_IMAGES,Ingen billeder valgt.
COU_NOT_SELECTED_IMAGES_2,
COU_NOT_SELECTED_SHARE,Intet Delemærke valgt
COU_NOT_SELECTED_SHARE_2,
COU_PAPERERROR,Papirfejl
COU_PAPERERROR_2,
COU_PASSLOCK_CODE_MISS,Forkert nulstillingskode
COU_PASSLOCK_CODE_MISS_2,
COU_PASSLOCK_PASS_MISS,Forkert adgangskode
COU_PASSLOCK_PASS_MISS_2,
COU_POWEROFFON,Sluk, og tænd kameraet igen
COU_POWEROFFON_2,
COU_PRINTERBUSY,Printer optaget
COU_PRINTERBUSY_2,
COU_PRINTERERROR,Printerfejl
COU_PRINTERERROR_2,
COU_READONLYMEMORY,Skrivebesk. huk.
COU_READONLYMEMORY_2,
COU_READONLY_FOLDER,Skrivebeskyttet mappe
COU_READONLY_FOLDER_2,
COU_REDEYE_DETECTED,Ingen rødøjeregistrering
COU_REDEYE_DETECTED_2,
COU_SCRNTOUCH_INVALID,Berøringsskærm er deaktiveret i
COU_SCRNTOUCH_INVALID_2,dette område
COU_SELFTIMER_INVALID,Selv-timer er ugyldig
COU_SELFTIMER_INVALID_2,
COU_SMILESHUTTER_AUTOONLY,Smiludløser er kun til rådighed,
COU_SMILESHUTTER_AUTOONLY_2,når Opt. funkt. er sat til "Auto"
COU_SYSTEMERROR,Systemfejl
COU_SYSTEMERROR_2,
COU_TARGET_DETECTED,Kan ikke finde ansigt til
COU_TARGET_DETECTED_2,retouchering
COU_TARGET_NOIMAGE,Ingen stillbilleder
COU_TARGET_NOIMAGE_2,
COU_ZOOM_INVALID,Zoom deaktiveret
COU_ZOOM_INVALID_2,
DUMMY,
GUIDE_BUTTON,Berør den knap, du vil bruge
GUIDE_CENTER,Berør centreringspunkt
GUIDE_CHANGEFOCUS,Skift fokusposition ved berøring
GUIDE_CHOOSEFOCUS,Vælg fokusposition ved berøring
