CAMMENU_0EV,0EV
CAMMODE_SNOW_GUIDE,Witachtige scène
CAMMODE_SNOW_GUIDE_2,helder opnemen
CAMMODE_SOFTSNAP,Soft Snap
CAMMODE_SOFTSNAP_GUIDE,Onderwerp opnemen en
CAMMODE_SOFTSNAP_GUIDE_2,zachte achtergrond
CAMMODE_TWILIGHT,Schemer
CAMMODE_TWILIGHTPORTRAIT,Schemer-portret
CAMMODE_TWILIGHTPORTRAIT_GUIDE,Opname onderbelicht
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,portret met flitser
CAMMODE_TWILIGHTTRIPOD_GUIDE,Opname onderbelicht scène
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,met behulp van een statief
CAMMODE_WATER,Onderwater
CAMMODE_WATER_GUIDE,Opname onderwater met na-
CAMMODE_WATER_GUIDE_2,tuurlijke kleuren in behuizing
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
CLOCKMENU_DEC,DEC
CLOCKMENU_DMY,D-M-J
CLOCKMENU_FEB,FEB
CLOCKMENU_JAN,JAN
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
CLOCKMENU_MAR,MRT
CLOCKMENU_MAY,MEI
CLOCKMENU_MDY,M-D-J
CLOCKMENU_NOV,NOV
CLOCKMENU_OCT,OKT
CLOCKMENU_SEP,SEP
CLOCKMENU_UNKNOWN,---
CLOCKMENU_YMD,J-M-D
COM_AUTO,Autom.
COM_BACK,Terug
COM_CANCEL,Annul.
COM_CLEAR,Verwijderen
COM_CLEARALL,Alles wissen
COM_CONTINUE,Verder
COM_CREATED,Gemaakt
COM_ENTRY,Toevoegen
COM_EXIT,Sluiten
COM_FAST,Snel
COM_HIGH,Hoog
COM_INTERNALMEMORY,Intern geheugen
COM_LOW,Laag
COM_MED,Normaal
COM_MIN,Min
COM_MOVIEREC,OPNMN.
COM_MOVIESTBY,Standby
COM_MS,Memory Stick
COM_MS_AND_INTERNALMEMORY,Memory Stick ＋ intern geheugen
COM_NOOFFILES,Aant. best.
